unixtime,lat,lon,crs,spd,mmsi,shipname
1403709236,47.845035,-122.4624317,34.22,2.86,123456,TIE-FIGHTER
1403709247,48.32712,-122.9953,23.62,1.43,123460,MILLENIUM FALCON
1403709254,47.612725,-122.45426,8.62,1.78,123458,X-WING
1403709254,47.612725,-122.45426,8.62,1.78,123458,X-WING
1403709258,47.84791333,-122.4638867,34.11,2.86,123456,TIE-FIGHTER
1403709266,47.61279667,-122.452805,8.48,1.78,123458,X-WING
1403709265,48.34421667,-124.3061667,11.5,1.99,123459,SLAVE I
1403709268,47.84916,-122.4645067,34.15,2.85,123456,TIE-FIGHTER
1403709271,48.32626167,-122.99722,23.63,1.44,123460,MILLENIUM FALCON
1403709283,48.34355,-124.30405,11.5,1.99,123459,SLAVE I
1403709283,48.32578167,-122.99831,23.65,1.44,123460,MILLENIUM FALCON
1403709288,47.85167333,-122.4657267,34.21,2.86,123456,TIE-FIGHTER
1403709290,48.3433,-124.3033,11.5,1.99,123459,SLAVE I
1403709294,48.34306667,-124.30255,11.5,1.99,123459,SLAVE I
1403709295,48.32534167,-122.9993183,23.67,1.44,123460,MILLENIUM FALCON
1403709299,47.85292667,-122.4663483,34.14,2.86,123456,TIE-FIGHTER
1403709301,48.32515833,-122.99974,23.68,1.44,123460,MILLENIUM FALCON
1403709302,48.34283333,-124.3018,11.5,1.99,123459,SLAVE I
1403709302,47.61305,-122.4484317,8.56,1.78,123458,X-WING
1403709307,48.32494,-123.000245,23.69,1.44,123460,MILLENIUM FALCON
1403709313,48.324715,-123.000755,23.69,1.44,123460,MILLENIUM FALCON
1403709314,47.613135,-122.4469783,8.55,1.78,123458,X-WING
1403709318,47.85540667,-122.467675,34.04,2.85,123456,TIE-FIGHTER
1403709319,48.32449,-123.0012633,23.68,1.44,123460,MILLENIUM FALCON
1403709330,47.85678167,-122.468355,34.15,2.85,123456,TIE-FIGHTER
1403709331,48.34163333,-124.29805,11.5,1.99,123459,SLAVE I
1403709331,48.32404167,-123.0022733,23.65,1.45,123460,MILLENIUM FALCON
1403709332,47.613255,-122.4447817,8.48,1.78,123458,X-WING
1403709343,48.32355167,-123.0033633,23.62,1.45,123460,MILLENIUM FALCON
1403709348,47.859035,-122.4694867,34.17,2.86,123456,TIE-FIGHTER
1403709349,48.34091667,-124.2957833,11.5,2,123459,SLAVE I
1403709355,48.34068333,-124.2950333,11.5,2,123459,SLAVE I
1403709355,48.34068333,-124.2950333,11.5,2,123459,SLAVE I
1403709361,48.32287,-123.0048667,23.58,1.45,123460,MILLENIUM FALCON
1403709364,47.859035,-122.4694867,34.17,2.86,123456,TIE-FIGHTER
1403709367,48.32264167,-123.0053683,23.58,1.45,123460,MILLENIUM FALCON
1403709367,47.61351333,-122.4404233,8.52,1.77,123458,X-WING
1403709373,48.32241667,-123.0058733,23.6,1.45,123460,MILLENIUM FALCON
1403709376,47.862585,-122.4712267,34.14,2.89,123456,TIE-FIGHTER
1403709379,47.86284,-122.471345,34.17,2.89,123456,TIE-FIGHTER
1403709379,48.32219333,-123.0063817,23.63,1.45,123460,MILLENIUM FALCON
1403709379,47.61355833,-122.4389817,8.87,1.75,123458,X-WING
1403709385,47.61355167,-122.4382583,9.16,1.75,123458,X-WING
1403709391,48.33923333,-124.2905167,11.5,2,123459,SLAVE I
1403709391,48.32174667,-123.0074033,23.66,1.45,123460,MILLENIUM FALCON
1403709392,47.86472333,-122.47232,34.08,2.88,123456,TIE-FIGHTER
1403709396,47.86521333,-122.4726017,33.99,2.86,123456,TIE-FIGHTER
1403709396,48.33898333,-124.2897667,11.5,2,123459,SLAVE I
1403709397,47.61348167,-122.436815,9.54,1.75,123458,X-WING
1403709400,47.61345167,-122.4364567,9.73,1.75,123458,X-WING
1403709409,48.33851667,-124.2882667,11.5,2,123459,SLAVE I
1403709410,47.61335,-122.4353817,9.87,1.75,123458,X-WING
1403709412,47.86707,-122.4737033,33.77,2.72,123456,TIE-FIGHTER
1403709421,48.32061333,-123.0099433,23.62,1.46,123460,MILLENIUM FALCON
1403709426,48.33778333,-124.286,11.5,2,123459,SLAVE I
1403709433,48.320155,-123.0109567,23.6,1.46,123460,MILLENIUM FALCON
1403709438,47.87018833,-122.4754067,33.99,2.79,123456,TIE-FIGHTER
1403709439,48.31996667,-123.01138,23.61,1.46,123460,MILLENIUM FALCON
1403709440,48.31996667,-123.01138,23.61,1.46,123460,MILLENIUM FALCON
1403709442,47.87068333,-122.4756783,33.98,2.81,123456,TIE-FIGHTER
1403709446,47.61293167,-122.4310883,9.87,1.78,123458,X-WING
1403709451,48.33688333,-124.2831167,11.5,1.99,123459,SLAVE I
1403709451,48.31951167,-123.012395,23.61,1.46,123460,MILLENIUM FALCON
1403709458,48.319245,-123.0129867,23.6,1.46,123460,MILLENIUM FALCON
1403709458,47.87269333,-122.47672,34.08,2.87,123456,TIE-FIGHTER
1403709460,47.87294667,-122.4768533,34.07,2.87,123456,TIE-FIGHTER
1403709464,47.612705,-122.428935,9.89,1.77,123458,X-WING
1403709469,48.33616667,-124.2808833,11.5,1.99,123459,SLAVE I
1403709469,48.31883333,-123.0139217,23.65,1.46,123460,MILLENIUM FALCON
1403709474,47.87472833,-122.47777,34.09,2.9,123456,TIE-FIGHTER
1403709475,48.33593333,-124.2801333,11.5,1.99,123459,SLAVE I
1403709481,48.31839333,-123.0149533,23.72,1.46,123460,MILLENIUM FALCON
1403709482,47.6125,-122.4267683,9.71,1.77,123458,X-WING
1403709486,48.33545,-124.2786333,11.5,1.99,123459,SLAVE I
1403709486,48.318175,-123.0154683,23.74,1.47,123460,MILLENIUM FALCON
1403709488,47.87638,-122.4786483,34.07,2.91,123456,TIE-FIGHTER
1403709493,48.317925,-123.016075,23.78,1.47,123460,MILLENIUM FALCON
1403709500,47.61235,-122.4245733,9.6,1.79,123458,X-WING
1403709500,47.87791167,-122.4794483,34.05,2.92,123456,TIE-FIGHTER
1403709502,47.87816667,-122.4795883,34.03,2.92,123456,TIE-FIGHTER
1403709505,48.317465,-123.017205,23.85,1.47,123460,MILLENIUM FALCON
1403709510,48.31728833,-123.01764,23.86,1.47,123460,MILLENIUM FALCON
1403709511,47.61221,-122.42312,9.84,1.78,123458,X-WING
1403709517,48.33425,-124.2749167,11.5,1.99,123459,SLAVE I
1403709518,48.31703833,-123.0182483,23.85,1.47,123460,MILLENIUM FALCON
1403709520,47.880465,-122.4807883,34.08,2.93,123456,TIE-FIGHTER
1403709529,48.31664167,-123.0192,23.81,1.47,123460,MILLENIUM FALCON
1403709530,47.61199167,-122.4209333,9.79,1.78,123458,X-WING
1403709534,47.88225667,-122.4817033,34.12,2.92,123456,TIE-FIGHTER
1403709534,48.33358333,-124.2727833,11.5,1.99,123459,SLAVE I
1403709541,48.33326667,-124.2717667,11.5,1.99,123459,SLAVE I
1403709542,47.611865,-122.41948,9.77,1.78,123458,X-WING
1403709547,48.31598167,-123.0207583,23.77,1.47,123460,MILLENIUM FALCON
1403709547,47.611865,-122.41948,9.77,1.78,123458,X-WING
1403709553,48.33278333,-124.2702667,11.5,2,123459,SLAVE I
1403709559,48.31554333,-123.0217967,23.77,1.47,123460,MILLENIUM FALCON
1403709566,47.88648167,-122.483835,34.17,2.93,123456,TIE-FIGHTER
1403709568,47.88674,-122.4839617,34.17,2.93,123456,TIE-FIGHTER
1403709571,48.31514167,-123.02275,23.78,1.47,123460,MILLENIUM FALCON
1403709572,47.61147333,-122.4158483,9.93,1.79,123458,X-WING
1403709582,47.88854667,-122.4848367,34.19,2.93,123456,TIE-FIGHTER
1403709583,48.33151667,-124.2663167,11.5,2,123459,SLAVE I
1403709584,47.61131167,-122.4143967,9.97,1.79,123458,X-WING
1403709589,48.314455,-123.0244083,23.82,1.47,123460,MILLENIUM FALCON
1403709590,47.61123,-122.4136733,9.97,1.79,123458,X-WING
1403709595,48.33106667,-124.2648333,11.4,2,123459,SLAVE I
1403709596,47.89035833,-122.4857233,34.2,2.94,123456,TIE-FIGHTER
1403709613,48.33043333,-124.2628667,11.5,2,123459,SLAVE I
1403709613,48.31357167,-123.02649,23.75,1.47,123460,MILLENIUM FALCON
1403709619,48.31334833,-123.02701,23.75,1.48,123460,MILLENIUM FALCON
1403709620,47.61080833,-122.4100483,10.01,1.78,123458,X-WING
1403709626,47.89424333,-122.4876517,34.12,2.95,123456,TIE-FIGHTER
1403709630,48.33011667,-124.2618667,11.5,2,123459,SLAVE I
1403709630,48.312945,-123.0279667,23.78,1.48,123460,MILLENIUM FALCON
1403709632,47.89489333,-122.487975,34.13,2.96,123456,TIE-FIGHTER
1403709637,47.89489333,-122.487975,34.13,2.96,123456,TIE-FIGHTER
1403709637,47.61057333,-122.4078683,9.92,1.78,123458,X-WING
1403709637,48.31269,-123.0285817,23.8,1.48,123460,MILLENIUM FALCON
1403709642,47.89618667,-122.4886183,34.17,2.95,123456,TIE-FIGHTER
1403709644,47.61049833,-122.4071467,9.97,1.78,123458,X-WING
1403709645,48.33011667,-124.2618667,11.5,2,123459,SLAVE I
1403709648,48.32876667,-124.2575833,11.4,2,123459,SLAVE I
1403709654,47.89787833,-122.4894033,34.23,2.95,123456,TIE-FIGHTER
1403709655,48.31203667,-123.0301633,23.82,1.48,123460,MILLENIUM FALCON
1403709656,47.89800667,-122.4894683,34.22,2.95,123456,TIE-FIGHTER
1403709656,47.61033,-122.4057017,10.03,1.79,123458,X-WING
1403709661,48.3281,-124.2555,11.5,2,123459,SLAVE I
1403709661,48.31182167,-123.0306917,23.82,1.48,123460,MILLENIUM FALCON
1403709678,48.32758333,-124.2538833,11.5,2,123459,SLAVE I
1403709684,47.90159667,-122.4913,34.15,2.93,123456,TIE-FIGHTER
1403709685,48.310945,-123.0327917,23.81,1.48,123460,MILLENIUM FALCON
1403709691,48.31073,-123.03332,23.83,1.48,123460,MILLENIUM FALCON
1403709694,47.90301167,-122.4920083,34.14,2.93,123456,TIE-FIGHTER
1403709697,47.90326833,-122.4921433,34.12,2.93,123456,TIE-FIGHTER
1403709704,47.60963667,-122.3998983,9.88,1.77,123458,X-WING
1403709706,47.90455167,-122.492795,34.12,2.93,123456,TIE-FIGHTER
1403709709,48.31007333,-123.0348933,23.8,1.48,123460,MILLENIUM FALCON
1403709711,48.32758333,-124.2538833,11.5,2,123459,SLAVE I
1403709714,47.905585,-122.49331,34.15,2.94,123456,TIE-FIGHTER
1403709715,48.32631667,-124.2499333,11.5,2.01,123459,SLAVE I
1403709716,47.905845,-122.4934333,34.17,2.94,123456,TIE-FIGHTER
1403709716,47.60949,-122.3984517,9.97,1.78,123458,X-WING
1403709718,47.90610667,-122.4935583,34.18,2.95,123456,TIE-FIGHTER
1403709721,48.32608333,-124.2491833,11.5,2.01,123459,SLAVE I
1403709721,48.30967667,-123.0358567,23.83,1.48,123460,MILLENIUM FALCON
1403709725,47.90610667,-122.4935583,34.18,2.95,123456,TIE-FIGHTER
1403709728,47.60928833,-122.3970167,10.3,1.78,123458,X-WING
1403709738,48.32538333,-124.2469167,11.4,2.01,123459,SLAVE I
1403709745,48.30882,-123.03797,23.86,1.48,123460,MILLENIUM FALCON
1403709745,48.30882,-123.03797,23.86,1.48,123460,MILLENIUM FALCON
1403709750,48.30860333,-123.0384967,23.85,1.48,123460,MILLENIUM FALCON
1403709752,47.60881,-122.3941583,10.45,1.79,123458,X-WING
1403709756,47.91112667,-122.495815,34.34,2.99,123456,TIE-FIGHTER
1403709757,48.30838833,-123.0390267,23.85,1.48,123460,MILLENIUM FALCON
1403709758,47.91139333,-122.4959333,34.34,3,123456,TIE-FIGHTER
1403709764,47.60855833,-122.3927317,10.47,1.79,123458,X-WING
1403709766,47.91232833,-122.4963417,34.35,3,123456,TIE-FIGHTER
1403709769,48.30792,-123.0401767,23.86,1.48,123460,MILLENIUM FALCON
1403709770,47.91299667,-122.4966317,34.37,3.01,123456,TIE-FIGHTER
1403709775,48.324,-124.2425333,11.4,2,123459,SLAVE I
1403709776,47.9138,-122.4969833,34.36,3.01,123456,TIE-FIGHTER
1403709776,47.60830667,-122.391305,10.44,1.79,123458,X-WING
1403709778,47.91393333,-122.4970433,34.36,3.01,123456,TIE-FIGHTER
1403709794,47.607945,-122.3891633,10.36,1.79,123458,X-WING
1403709798,48.32298333,-124.23925,11.4,2.01,123459,SLAVE I
1403709800,48.30685,-123.0428383,23.9,1.48,123460,MILLENIUM FALCON
1403709805,48.306635,-123.0433717,23.9,1.48,123460,MILLENIUM FALCON
1403709805,48.32273333,-124.2385,11.4,2.01,123459,SLAVE I
1403709808,47.917905,-122.498985,34.17,3.01,123456,TIE-FIGHTER
1403709811,48.30642,-123.0439017,23.89,1.48,123460,MILLENIUM FALCON
1403709817,47.91908833,-122.4995833,34.14,3.01,123456,TIE-FIGHTER
1403709817,48.306205,-123.0444333,23.88,1.48,123460,MILLENIUM FALCON
1403709818,47.91922,-122.4996483,34.14,3.01,123456,TIE-FIGHTER
1403709820,47.91948333,-122.4997783,34.15,3.01,123456,TIE-FIGHTER
1403709823,48.32203333,-124.2362167,11.4,2.01,123459,SLAVE I
1403709824,47.60739167,-122.3855933,10.43,1.78,123458,X-WING
1403709826,47.920275,-122.5001667,34.16,3,123456,TIE-FIGHTER
1403709830,48.30573833,-123.0455833,23.88,1.49,123460,MILLENIUM FALCON
1403709830,47.60727,-122.384885,10.41,1.79,123458,X-WING
1403709830,48.30573833,-123.0455833,23.88,1.49,123460,MILLENIUM FALCON
1403709835,48.3216,-124.2348167,11.4,2.01,123459,SLAVE I
1403709835,48.30555833,-123.0460267,23.88,1.49,123460,MILLENIUM FALCON
1403709836,47.60715,-122.3841717,10.43,1.79,123458,X-WING
1403709838,47.92185667,-122.500925,34.21,3,123456,TIE-FIGHTER
1403709840,47.92212167,-122.5010517,34.21,3,123456,TIE-FIGHTER
1403709842,47.60702667,-122.38346,10.45,1.79,123458,X-WING
1403709841,48.30534333,-123.0465567,23.87,1.49,123460,MILLENIUM FALCON
1403709846,47.92304833,-122.5014867,34.23,3,123456,TIE-FIGHTER
1403709859,48.32065,-124.2317833,11.5,2.01,123459,SLAVE I
1403709860,47.60666833,-122.3813117,10.38,1.79,123458,X-WING
1403709864,48.30451,-123.048595,23.87,1.49,123460,MILLENIUM FALCON
1403709866,47.60655167,-122.380595,10.41,1.81,123458,X-WING
1403709870,48.30429333,-123.0491283,23.88,1.49,123460,MILLENIUM FALCON
1403709872,47.92647833,-122.5031117,34.18,2.99,123456,TIE-FIGHTER
1403709872,47.606425,-122.3798717,10.34,1.8,123458,X-WING
1403709877,48.30408333,-123.0496617,23.89,1.49,123460,MILLENIUM FALCON
1403709878,47.92726167,-122.5035217,34.11,2.99,123456,TIE-FIGHTER
1403709882,48.31968333,-124.22875,11.5,2.01,123459,SLAVE I
1403709883,48.303835,-123.050285,23.89,1.49,123460,MILLENIUM FALCON
1403709890,47.92881667,-122.5043967,33.94,2.99,123456,TIE-FIGHTER
1403709890,47.60607833,-122.377715,10.31,1.81,123458,X-WING
1403709894,47.929325,-122.50472,33.83,2.99,123456,TIE-FIGHTER
1403709895,48.3192,-124.2272333,11.5,2.02,123459,SLAVE I
1403709896,47.60595833,-122.3769883,10.32,1.8,123458,X-WING
1403709902,47.93032833,-122.5054233,33.57,2.99,123456,TIE-FIGHTER
1403709907,48.31868333,-124.2255833,11.4,2.02,123459,SLAVE I
1403709907,48.30301,-123.0523317,23.88,1.49,123460,MILLENIUM FALCON
